country,country_clean,region,is_developed,year,month,quarter,date,period,season,year_category,energy_source,energy_source_clean,source_category,energy_type,electricity_production_gwh,share_of_total,is_renewable,is_fossil,energy_intensity_category,is_outlier,is_negative,is_zero
Argentina,Argentina,South America,False,2022,1,1,2022-01-01,2018-2022,Winter,Late 2010s,Wind,Wind,Renewable,Clean Energy,14025.337741,0.1012611689096592,True,False,High,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,163887.775,0.6926122899659078,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.996,4.217894550146566e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,16471.891,0.0696318422869368,True,False,High,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,45678.585,0.1930655231026009,False,True,High,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,2447.778,0.0102019382677843,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,908.238,0.0038668872910908,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2010,1,1,2010-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,4940.909,0.0209146378199549,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,163949.76,0.6880217326555949,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.996,4.185472400152911e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,13997.977,0.0585348692976001,True,False,High,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,44615.347,0.1864529966764212,False,True,High,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,5340.405,0.0202931079523422,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,1875.002,0.0079035357281096,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2011,1,1,2011-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,6787.749,0.0286074376840304,True,False,Medium,False,False,False
